codigo_municipio_ibge,municipio,idhm
1720499,SÃO VALÉRIO,0.643
1720655,SILVANÓPOLIS,0.675
1720804,SÍTIO NOVO DO TOCANTINS,0.604
1720853,SUCUPIRA,0.667
1720903,TAGUATINGA,0.634
1720937,TAIPAS DO TOCANTINS,0.601
1720978,TALISMÃ,0.654
1721000,PALMAS,0.788
1721109,TOCANTÍNIA,0.589
1721208,TOCANTINÓPOLIS,0.681
1721257,TUPIRAMA,0.67
1721307,TUPIRATINS,0.587
1722081,WANDERLÂNDIA,0.638
1722107,XAMBIOÁ,0.671
2100055,AÇAILÂNDIA,0.672
2100105,AFONSO CUNHA,0.529
2100154,ÁGUA DOCE DO MARANHÃO,0.5
2100204,ALCÂNTARA,0.573
2100303,ALDEIAS ALTAS,0.513
2100402,ALTAMIRA DO MARANHÃO,0.549
2100436,ALTO ALEGRE DO MARANHÃO,0.554
2100477,ALTO ALEGRE DO PINDARÉ,0.558
2100501,ALTO PARNAÍBA,0.633
2100550,AMAPÁ DO MARANHÃO,0.52
2100600,AMARANTE DO MARANHÃO,0.555
2100709,ANAJATUBA,0.581
2100808,ANAPURUS,0.581
2100832,APICUM-AÇU,0.568
2100873,ARAGUANÃ,0.533
2100907,ARAIOSES,0.521
2100956,ARAME,0.512
2101004,ARARI,0.626
2101103,AXIXÁ,0.641
2101202,BACABAL,0.651
2101251,BACABEIRA,0.629
2101301,BACURI,0.578
2101350,BACURITUBA,0.537
2101400,BALSAS,0.687
2101509,BARÃO DE GRAJAÚ,0.592
2101608,BARRA DO CORDA,0.606
2101707,BARREIRINHAS,0.57
2101731,BELÁGUA,0.512
2101772,BELA VISTA DO MARANHÃO,0.554
2101806,BENEDITO LEITE,0.546
2101905,BEQUIMÃO,0.601
2101939,BERNARDO DO MEARIM,0.604
2101970,BOA VISTA DO GURUPI,0.545
2102002,BOM JARDIM,0.538
2102036,BOM JESUS DAS SELVAS,0.558
2102077,BOM LUGAR,0.562
2102101,BREJO,0.562
2102150,BREJO DE AREIA,0.519
2102200,BURITI,0.548
2102309,BURITI BRAVO,0.59
2102325,BURITICUPU,0.556
2102358,BURITIRANA,0.583
2102374,CACHOEIRA GRANDE,0.537
2102408,CAJAPIÓ,0.553
2102507,CAJARI,0.523
2102556,CAMPESTRE DO MARANHÃO,0.652
2102606,CÂNDIDO MENDES,0.561
2102705,CANTANHEDE,0.565
2102754,CAPINZAL DO NORTE,0.537
2102804,CAROLINA,0.634
